time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,23.1,15.5,,,,,,,,
2021-01-02,22.6,17.0,28.9,0.0,,89.0,3.5,,1013.2,
2021-01-03,22.2,14.7,28.5,0.0,,141.0,4.0,,1011.7,
2021-01-04,22.3,17.0,27.4,5.1,,66.0,4.3,,1011.7,
2021-01-05,23.3,19.7,27.2,1.0,,52.0,3.1,,1012.7,
2021-01-06,23.9,17.9,30.2,2.1,,72.0,3.6,,1012.2,
2021-01-07,23.4,18.0,28.4,2.9,,73.0,5.9,,1010.9,
2021-01-08,21.9,19.1,26.6,2.6,,76.0,3.8,,1010.0,
2021-01-09,23.9,19.3,28.4,4.6,,74.0,3.0,,1010.7,
2021-01-10,23.8,19.4,29.4,0.4,,79.0,4.4,,1011.6,
2021-01-11,23.5,18.1,30.1,0.0,,54.0,4.8,,1012.8,
2021-01-12,22.2,16.2,29.5,0.0,,74.0,4.8,,1013.6,
2021-01-13,22.8,15.9,30.0,0.0,,62.0,4.2,,1012.7,
2021-01-14,22.0,15.5,30.0,0.0,,32.0,3.5,,1012.4,
2021-01-15,22.8,15.0,31.2,0.0,,255.0,4.2,,1011.1,
2021-01-16,23.0,16.0,30.5,0.0,,30.0,2.9,,1009.9,
2021-01-17,24.4,16.7,31.0,0.0,,301.0,3.4,,1010.4,
2021-01-18,23.9,18.1,30.9,0.0,,344.0,3.2,,1011.9,
2021-01-19,23.4,16.6,29.9,0.0,,306.0,3.9,,1012.4,
2021-01-20,23.7,17.6,31.0,0.0,,282.0,4.3,,1013.1,
2021-01-21,22.2,13.9,31.9,0.0,,281.0,3.7,,1013.0,
2021-01-22,21.4,13.7,30.2,0.0,,30.0,3.7,,1012.6,
2021-01-23,22.6,13.9,31.2,0.0,,303.0,3.9,,1012.6,
2021-01-24,22.4,15.1,31.8,0.0,,298.0,4.5,,1013.3,
2021-01-25,21.2,13.6,30.4,0.0,,329.0,3.3,,1013.9,
2021-01-26,21.5,12.9,30.4,0.0,,313.0,3.6,,1013.3,
2021-01-27,21.2,12.5,30.4,0.0,,304.0,3.5,,1013.0,
2021-01-28,21.3,12.3,31.2,0.0,,300.0,3.9,,1013.2,
2021-01-29,20.5,12.7,29.6,0.0,,11.0,4.1,,1014.4,
